广告|guǎng gào|Quảng cáo.
朝鲜|Cháo xiǎn|Triều Tiên.
半岛|bàn dǎo|Bán đảo.
活泼|huó pō|Hoạt bát, vui vẻ.
有趣|yǒu qù|Thú vị.
幽默|yōu mò|Hài hước.
马虎|mǎ hǔ|Cẩu thả, bất cẩn.
骄傲|jiāo ào|Kiêu ngạo, tự hào.
害羞|hài xiū|Xấu hổ, ngại ngùng.
敢于面对|gǎn yú miàn duì|Dám đối mặt.
即使|jí shǐ|Ngay cả, dù cho.
商场|shāng chǎng|Trung tâm thương mại.
保证|bǎo zhèng|Đảm bảo.
质量|zhì liàng|Chất lượng.
退换|tuì huàn|Đổi trả.
顾客|gù kè|Khách hàng.
放心|fàng xīn|Yên tâm.
整天|zhěng tiān|Cả ngày.
挣|zhēng|Kiếm (tiền).
夫妻|fū qī|Vợ chồng.
亲戚|qīn qī|Họ hàng.
恋人|liàn rén|Người yêu.
打扮|dǎ bàn|Trang điểm, ăn mặc.
剩下|shèng xià|Còn lại.
清新|qīng xīn|Tươi mát.
灰色|huī sè|Màu xám.
天空|tiān kōng|Bầu trời.
遇见|yù jiàn|Gặp gỡ.
主动|zhǔ dòng|Chủ động.
打招呼|dǎ zhāo hu|Chào hỏi.
点头|diǎn tóu|Gật đầu.
问候|wèn hòu|Thăm hỏi.
礼貌|lǐ mào|Lịch sự.
方式|fāng shì|Cách thức.
感情|gǎn qíng|Cảm xúc.
乘坐|chéng zuò|Ngồi (trên phương tiện).
排队|pái duì|Xếp hàng.
等候|děng hòu|Chờ đợi.
挤|jǐ|Chen chúc, chèn ép.
行道|xíng dào|Lối đi bộ.
道路|dào lù|Đường vành đai.
集合|jí hé|Tập hợp.
按顺序|àn shùn xù|Theo thứ tự.
遵守|zūn shǒu|Tuân thủ.
秩序|zhì xù|Trật tự.
出现于|chū xiàn yú|Xuất hiện ở.
读者|dú zhě|Độc giả.
主要|zhǔ yào|Chính, chủ yếu.
都市|dū shì|Thành phố.
时尚|shí shàng|Thời trang.
女性|nǚ xìng|Phụ nữ.
包括|bāo kuò|Bao gồm.
时装|shí zhuāng|Thời trang.
化妆|huà zhuāng|Trang điểm.
娱乐|yú lè|Giải trí.
艺术|yì shù|Nghệ thuật.
综合性|zōng hé xìng|Tính tổng hợp.
杂志|zá zhì|Tạp chí.
时髦|shí máo|Thời thượng.
出版|chū bǎn|Xuất bản.
出版社|chū bǎn shè|Nhà xuất bản.
宽敞|kuān chǎng|Rộng rãi.
热水器|rè shuǐ qì|Máy nước nóng.
位置|wèi zhì|Vị trí.
暖气|nuǎn qì|Hệ thống sưởi ấm.
烧|shāo|Đun, nấu.
决定|jué dìng|Quyết định.
租|zū|Thuê.
明星|míng xīng|Ngôi sao (người nổi tiếng).
羡慕|xiàn mù|Ghen tị, ngưỡng mộ.
面临|miàn lín|Đối mặt.
婚姻|hūn yīn|Hôn nhân.
爱情|ài qíng|Tình yêu.
事业|shì yè|Sự nghiệp.
顺利|shùn lì|Thuận lợi.
新闻|xīn wén|Tin tức.
误会|wù huì|Hiểu lầm.
心理|xīn lǐ|Tâm lý.
稳定|wěn dìng|Ổn định.
压力|yā lì|Áp lực.
当|dāng|Khi, lúc.
随着|suízhe|Cùng với.
生活水平|shēng huó shuǐ píng|Mức sống.
提高|tí gāo|Nâng cao.
重视|zhòng shì|Đề cao, coi trọng.
精神生活|jīng shén shēng huó|Cuộc sống tinh thần.
追求|zhuī qiú|Theo đuổi.
浪漫|làng màn|Lãng mạn.
减少|jiǎn shǎo|Giảm thiểu.
热情|rè qíng|Nhiệt tình.
丰富|fēng fù|Phong phú, đa dạng.
导演|dǎo yǎn|Đạo diễn.
业余|yè yú|Nghiệp dư.
交往|jiāo wǎng|Kết giao, giao lưu.
能力|néng lì|Khả năng.
方面|fāng miàn|Khía cạnh.
培养|péi yǎng|Nuôi dưỡng, phát triển.
合作|hé zuò|Hợp tác.
精神|jīng shén|Tinh thần.
习惯|xí guàn|Thói quen.
保护|bǎo hù|Bảo vệ.
打印|dǎ yìn|In ấn.
文件|wén jiàn|Tài liệu.
存|cún|Lưu trữ, gửi.
出行|chū xíng|Đi lại.
麻烦|má fan|Phiền phức, rắc rối.
程序|chéng xù|Chương trình.
复杂|fù zá|Phức tạp.
轻松|qīng sōng|Thoải mái, dễ chịu.
孝顺|xiào shùn|Hiếu thảo.
尊重|zūn zhòng|Tôn trọng.
真正|zhēn zhèng|Thực sự, thật sự.
有名|yǒu míng|Nổi tiếng.
勇敢|yǒng gǎn|Dũng cảm.
坚强|jiān qiáng|Kiên cường, mạnh mẽ.
除夕|chú xī|Đêm giao thừa.
夜|yè|Đêm.
饺子|jiǎo zi|Bánh bao (sủi cảo).
年糕|nián gāo|Bánh nếp (bánh chưng).
鞭炮|biān pào|Pháo.
点蜡烛|diǎn là zhú|Thắp nến.
辅导|fǔ dǎo|Hướng dẫn.
辅导班|fǔ dǎo bān|Lớp học thêm.
占用|zhàn yòng|Chiếm dụng.
业余时间|yè yú shí jiān|Thời gian rảnh.
失去|shī qù|Mất đi.
自由|zì yóu|Tự do.
家长|jiā zhǎng|Phụ huynh.
想来想去|xiǎng lái xiǎng qù /nghĩ đi nghĩ lại.
数码相机|shù mǎ xiàng jī|Máy ảnh kỹ thuật số.
彩色|cǎi sè|Màu sắc, màu.
却|què|Nhưng, lại.
充电器|chōng diàn qì|Bộ sạc.
织|zhī|Dệt.
帽子|mào zi|Mũ.
戴|dài|Đeo, đội.
笑话|xiào huà|Truyện cười.
地球|dì qiú|Trái đất.
南极|nán jí|Nam Cực.
北极|běi jí|Bắc Cực.
常年|cháng nián|Suốt năm, quanh năm.
冰雪|bīng xuě|Băng tuyết.
寒冷|hán lěng|Lạnh lẽo, giá rét.
共有|gòng yǒu|Cùng sở hữu.
特征|tè zhēng|Đặc trưng.
由于|yóu yú|Do, vì.
糟糕|zāo gāo|Tồi tệ, thảm hại.
仍然|réng rán|Vẫn còn.
融化|róng huà|Tan chảy.
田野|tián yě|Cánh đồng.
湿润|shī rùn|Ẩm ướt.
桥|qiáo|Cái cầu.
费用|fèi yòng|Chi phí.
治疗|zhì liáo|Điều trị.
香皂|xiāng zào|Xà phòng.
设计|shè jì|Thiết kế.
消息|xiāo xī|Tin tức, thông tin.
计划书|jì huà shū|Kế hoạch.
搬走|bān zǒu|Chuyển đi.
著名|zhù míng|Nổi tiếng.
古城|gǔ chéng|Thành phố cổ.
